	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F1140	120909.601447473	142107.377081656	127839.111552004	118698.331604996	50824.1383841361	221172.699317786	113743.00014008	192307.440189257	140888.590806928	92357.5525924942	103061.834228753	199332.216874086	102993.228659089	117035.424731256	112898.722743383	136832.768930509	131723.548174242	152468.092548682
F1141	93961.3055928608	85245.7613293853	193990.674675378	119795.262474447	50852.5591146964	115369.447388914	61091.0682116299	215021.221028109	125187.681651658	161716.607600605	88860.6216289809	89187.0549483972	38590.7602277641	95603.4112056971	78397.4894902451	254055.038471763	123088.713477431	116454.99514281
F1142	194326.100850456	258853.967927429	204309.502129827	227048.881171481	208417.223934895	140700.226332627	213857.502997617	75096.5081142676	244326.497903163	152264.362385011	189807.816862016	221995.744760867	190156.392571329	245283.947570733	153222.65037338	263351.162192968	297532.886037612	225000.528949961
F1143	21998.1153932438	50762.269611869	35634.9740965338	50566.6306059628	44068.3108532847	297380.811980664	26362.4947945075	275432.540457909	101525.37008345	115200.832829561	30493.0553979236	232345.676098005	44448.5086226298	74070.2326960536	45903.5022393713	32396.8242290791	29749.0536979512	100180.751669686
F1144	53056.6275769407	88973.4559604933	123677.599793376	192717.749645875	91623.2075307662	106819.122753886	94726.0215942498	141195.277043636	103809.712779174	195159.468988131	175431.886403768	135613.545828474	142786.539908059	216043.922903194	76788.8129958677	194111.341693869	96522.602208479	127345.185506361
F1145	140697.219277124	155160.890126805	174942.859916841	245055.614904722	257016.703413402	285482.833711628	36493.066550943	154416.416523307	153542.654545247	208466.676081023	50742.6694614735	287739.900483823	98430.635876796	184381.846061193	77864.3132392077	263432.994929369	241919.7700734	277531.361736541
F1146	278317.593708647	263079.737320314	269746.307543717	268356.622474631	280133.868020401	223804.394530222	271117.734891146	254868.215509192	284785.977329625	261730.707180094	296657.152584044	227606.97939511	245724.034246814	249807.609659056	264232.821730014	252430.337905573	278444.098547368	269752.355510415
F1147	34683.8067300338	86114.6023050819	58156.4552334278	61758.6691844018	18116.5193107362		35463.1570490155	206715.0997664	182159.457943309		40078.9443609589	296575.281011298	95027.6863980204	241359.692386367	100094.47625904	54680.3183783843	58717.06365951	163710.447589617
F1148	171480.110271678	256230.164097307	247115.391867539	182588.134688964	185368.198260418	110536.108189968	254821.83852291	231594.257921314	244013.858093485	150302.085034841	249860.897211265	129076.678653323	145593.749399761	131015.279714157	225806.41892929	178365.534362403	273663.277526504	296490.577534143
F1149	198575.114147889	201364.967532712	194453.707888086	221782.625911151	241204.365804451	283932.502788321	138771.635062728	167930.094908471	219200.298577233	204819.993982441	137243.350568207	254440.722508217	178102.619754142	234543.017913778	142732.281877353	244372.505225893	296171.484002924	223994.702976213
F1150	94706.8545584966	152834.402488584	47018.5542377673	60041.5556423799	162202.455569266		103139.436296586	13419.101484055	181415.503193808		189998.275773655	26145.3599260425	209761.413046194	90369.3580007872	294936.728826051	81874.3977413228	25209.8478375161	33377.1562796335
F1151	136275.131767051	89854.6473674973	101677.148169643	49905.9396940803	72959.9320259559	61300.347489194	106021.823436161	194426.824927673	152569.75528247	206498.809318004	118455.075279969	199259.414374302	210029.23037865	236170.734250995	233205.959100557	53407.1516797414	70310.404045791	68995.6716247507
F1152	21868.891050653	54094.2940790133	67400.4186935154	61006.7937486125	118195.137268978	61021.7457854396	58969.9986144264	80482.0819439807	62142.8408781885	130100.775957387	161010.94530986	105921.282769031	54006.9504352141	239751.46365632	35891.9046739094	210100.542572352	207059.967395433	16641.7573912047
F1153	172465.028262964	293867.976082936	76379.7304554989	119336.248343942	102236.928059147	58971.601359548	143487.975462743	64341.6206857603	107602.935144896	175063.441526297	229510.544561506	99487.6313417677	86415.6216280309	132816.374352469	149159.655994826	129191.385964053	94608.2633449184	52354.1877501737
F1154	258344.525593415	293801.892787954	121823.723271435	232548.137088635	209914.502340933	174812.620691783	237614.860420017	222749.095687382	283463.878659868	218333.784525509	243597.650870442	160661.460008388	202153.085528517	229415.150708641	180970.011597399	227079.328964799	268683.708572916	220479.808649335
F1155	63539.9075407714	102972.03011206	104265.654475581	227510.796795797	147803.304285653	279461.400840077	168064.829843886	249901.10680164	231807.864218002	180437.948736023	71998.4353052852	293560.988051706	257974.526852748	252679.489583488	280265.167426269	83666.8793102408	68610.8821353546	68301.792104264
F1156	142512.18318649	128217.969667071	83313.1593666739	106345.617424688	127683.030381444	187890.797132078	106080.435416922		89782.8556497234	43927.5089691114	142691.092889645	147678.834437606	153414.494529053	142530.055616148	105937.17398859	116897.311344742	125735.896805677	242371.279592457
F1157	173951.716782288	195972.111093584	117455.639664808	199059.085193785	80190.8536076622	262797.794119488	204695.779332787	276055.085253886	211677.067634475	201712.664379035	126055.291907637	273352.747818251	129781.326144553	214809.545033454	86117.2630615284	152269.281575401	159520.334936372	251228.61897075
F1158	95014.9198112971	125585.196512362	102416.293532901	143937.883347427	151227.458262047	189475.541817937	135218.237046619	182601.64978298	140866.650123504	170772.065106147	174124.386231413	237704.371636465	127721.814211264	116861.641564918	55489.097766919	171956.534638001	100639.012814953	178707.680042693
F1159	34180.7929501535	133076.843668711	76579.9128561796	59805.0990057143	130729.248087032	178961.223153918	49526.3782875945	138947.60855078	97399.8892623018	157089.611206898	37955.4234606454	136944.530245067	48914.1359195508	112215.888868084	49413.7453014882	115236.677558692	48545.3202534113	57157.0750866417
