(1R,2R)-3-OXO-2-PENTYL-CYCLOPENTANEOCTANOIC ACID	oxo-pentyl-cyclopentaneoctanoate
(1R,2R,4R)-1,8-EPOXY-P-MENTHANE-2,4-DIOL	Epoxy-menthane-diol
(1R,2R,4R)-DIHYDROCARVEOL	Dihydrocarveol
(1R,2R,4S)-ISO-DIHYDROCARVEOL	Iso-dihydrocarveol
(1R,2R,4S)-LIMONENE-1,2-DIOL	Limonene-diol
(1R,2S,4R)-NEO-DIHYDROCARVEOL	Neo-dihydrocarveol
(1R,2S,4S)- NEOISO-DIHYDROCARVEOL	Neoiso-dihydrocarveol
(1R,4R)-DIHYDROCARVONE	Dihydrocarvone
(1R,4R)-P-MENTHA-2,8-DIEN-1-OL	Mentha-dien-ol
(1R,4R,5S)-(-)-GUAIA-6,10(14)-DIENE	Guaia-diene
(1R,4S)-1-HYDROXY-2-OXOLIMONENE	Hydroxy-oxolimonene
(1R,4S)-FENCHONE	fenchone
(1R,4S)-ISO-DIHYDROCARVONE	Iso-dihydrocarvone
(1R,4S,5R)-4-THUJANOL	Thujanol
(1R,6R)-6-HYDROXY-2-SUCCINYLCYCLOHEXA-2,4-DIENE-1-CARBOXYLATE	Hydroxy-succinylcyclohexa-diene-carboxylate
(1R,6R)-GAMMA-HIMACHALENE	himachalene
(1R,6S)-6-AMINO-5-OXOCYCLOHEX-2-ENE-1-CARBOXYLATE	Amino-oxocyclohex-ene-carboxylate
(1R,6S)-GAMMA-HIMACHALENE	himachalene
(1S)-1-HYDROXY-23,24-DIDEHYDRO-25,26,27-TRINORCALCIOL	hydroxy-didehydro-trinorcalciol
(1S,2R,4R)-NEOISO-DIHYDROCARVEOL	Neoiso-dihydrocarveol
(1S,2R,4S)-NEO-DIHYDROCARVEOL	Neo-dihydrocarveol
(1S,2S)-3-OXO-2-PENTYL-CYCLOPENTANEOCTANOIC ACID	oxo-pentyl-cyclopentaneoctanoate
(1S,2S,4R)-ISO-DIHYDROCARVEOL	Iso-dihydrocarveol
(1S,2S,4R,8S)-P-MENTHANE-1,2,8,9-TETROL 2-GLUCOSIDE	Menthane-glucoside
(1S,2S,4S)-DIHYDROCARVEOL	Dihydrocarveol
(1S,2S,4S,5R)-1,8-EPOXY-P-MENTHANE-2,5-DIOL	Epoxy-menthane-diol
